gender,gpa,wageb,wagea,lnbwage,lnawage,gradchoice,major,hheconstat,Pedu,Poccu
0,3.126,6973.5454,18000,8.8498793,9.7981272,0,3,1,3,2
0,3.424,2682.1328,3200,7.8943677,8.0709057,0,3,0,1,0
0,3.482,4291.4126,5000,8.3643713,8.5171928,0,3,0,3,2
0,3.057,6437.1187,8000,8.7698364,8.9871969,0,3,0,1,3
1,3.217,4291.4126,6000,8.3643713,8.6995144,0,3,0,1,3
0,3.114,4827.8394,5500,8.4821539,8.6125031,1,3,1,2,0
1,3.079,10728.531,10000,9.2806616,9.2103405,0,3,1,3,2
1,2.93,6437.1187,10000,8.7698364,9.2103405,0,3,1,1,4
1,3.011,4291.4126,50000,8.3643713,10.819778,0,3,1,2,2
0,3.265,9655.6787,12000,9.1753016,9.392662,0,3,1,2,2
0,3.054,10728.531,30000,9.2806616,10.308952,0,3,1,3,1
0,3.371,5578.8364,6000,8.6267357,8.6995144,1,3,0,2,3
1,3.499,7509.9722,20000,8.9239874,9.9034872,0,3,0,3,1
1,3.195,8046.3984,7500,8.99298,8.922658,0,3,0,2,4
1,3.215,17165.65,16000,9.7506657,9.6803436,2,3,1,3,1
0,3.332,5364.2656,5000,8.5875149,8.5171928,0,3,1,3,2
0,3.313,7295.4014,12000,8.8949995,9.392662,1,3,1,3,2
1,2.647,8582.8252,10000,9.057518,9.2103405,0,3,1,3,1
1,2.497,7724.5425,11000,8.952158,9.3056507,0,3,0,1,3
0,3.308,5364.2656,9000,8.5875149,9.1049795,1,3,1,3,2
1,3.225,4827.8394,7000,8.4821539,8.8536654,0,3,0,1,3
1,2.914,3218.5593,8000,8.0766888,8.9871969,0,3,0,1,3
1,3.345,6437.1187,6000,8.7698364,8.6995144,1,3,1,3,2
0,3.444,10728.531,12000,9.2806616,9.392662,0,3,0,2,4
0,3.161,3218.5593,8000,8.0766888,8.9871969,0,3,1,2,0
1,2.947,4291.4126,8000,8.3643713,8.9871969,1,3,0,1,3
1,3.509,11801.385,14000,9.3759718,9.546813,1,3,0,1,4
0,3.506,6437.1187,8000,8.7698364,8.9871969,0,3,1,2,4
0,3.527,4291.4126,2600,8.3643713,7.8632669,0,3,1,3,2
0,3.27,5364.2656,20000,8.5875149,9.9034872,0,3,1,3,1
0,3.377,4291.4126,10000,8.3643713,9.2103405,0,3,1,2,2
0,3.411,8582.8252,8000,9.057518,8.9871969,0,3,0,1,3
0,3.308,5364.2656,7000,8.5875149,8.8536654,2,3,1,3,2
1,3.217,10728.531,20000,9.2806616,9.9034872,0,3,1,2,4
1,2.553,10728.531,10000,9.2806616,9.2103405,0,3,0,1,4
1,2.917,9441.1074,10000,9.1528282,9.2103405,1,3,0,2,4
1,3.227,6437.1187,15000,8.7698364,9.6158056,0,3,0,1,0
1,3.179,3433.1301,11500,8.1412277,9.3501024,0,3,1,1,3
1,3.166,6437.1187,10400,8.7698364,9.2495613,0,3,0,1,3
0,3.1,3754.9861,3500,8.2308397,8.1605186,1,3,0,3,1
0,3.496,6973.5454,13000,8.8498793,9.4727049,1,3,1,2,4
0,3.054,4291.4126,5600,8.3643713,8.6305218,0,3,1,1,3
0,3.103,5364.2656,5000,8.5875149,8.5171928,0,3,1,1,3
1,2.867,10728.531,6200,9.2806616,8.7323046,0,3,1,3,2
1,3.211,5364.2656,12000,8.5875149,9.392662,0,3,1,2,3
1,3.467,8582.8252,15000,9.057518,9.6158056,0,3,1,3,1
1,2.23,3218.5593,10000,8.0766888,9.2103405,0,3,1,2,1
0,3.063,8046.3984,10000,8.99298,9.2103405,0,3,0,1,3
0,3.62,5471.5869,7500,8.6073236,8.922658,0,3,1,3,0
0,3.2,9301.6982,8500,9.1379519,9.047821,0,3,1,3,2
0,3.529,8754.5391,11000,9.0773277,9.3056507,0,3,1,1,4
0,3.447,5364.2656,6000,8.5875149,8.6995144,2,3,1,3,2
0,3.756,13131.809,20000,9.4827929,9.9034872,0,3,1,3,2
0,2.875,4377.2695,8000,8.3841801,8.9871969,0,3,1,3,2
1,3.035,5364.2656,10000,8.5875149,9.2103405,2,3,0,1,3
0,3.58,9848.8564,9000,9.1951103,9.1049795,1,3,1,3,2
0,3.775,8207.3809,9400,9.0127888,9.1484652,1,3,0,2,3
0,3.041,9848.8564,9000,9.1951103,9.1049795,0,3,0,3,0
1,2.176,10943.174,15000,9.3004713,9.6158056,0,3,0,1,3
0,3.107,2188.6348,3000,7.6910334,8.0063677,2,3,0,1,4
0,3.554,7509.9722,7000,8.9239874,8.8536654,2,3,1,2,2
0,3.992,8582.8252,50000,9.057518,10.819778,0,3,1,2,4
0,3.533,3830.1108,7500,8.2506495,8.922658,0,3,0,1,3
0,2.506,6565.9043,8000,8.7896452,8.9871969,2,3,1,3,1
1,3.666,21886.348,45000,9.993618,10.714417,1,3,1,2,4
1,2.729,3218.5593,11000,8.0766888,9.3056507,0,3,1,1,3
1,3.378,5471.5869,8000,8.6073236,8.9871969,0,3,0,1,4
0,3.345,9028.1191,11000,9.108099,9.3056507,1,3,1,3,1
0,3.312,8582.8252,10000,9.057518,9.2103405,0,3,0,1,3
1,3.098,12874.237,12000,9.4629831,9.392662,0,3,0,2,4
1,2.204,7509.9722,7000,8.9239874,8.8536654,0,3,1,3,0
0,3.537,5364.2656,8000,8.5875149,8.9871969,0,3,1,2,1
0,3.203,4291.4126,5600,8.3643713,8.6305218,0,3,1,3,4
0,3.281,2574.8477,3600,7.8535457,8.1886892,0,3,0,1,3
0,3.618,5364.2656,8000,8.5875149,8.9871969,0,3,0,1,3
0,3.749,7509.9722,7000,8.9239874,8.8536654,1,3,1,3,1
0,3.265,5686.1216,5300,8.6457834,8.5754623,2,3,1,3,1
0,3.127,8582.8252,9500,9.057518,9.1590471,1,3,1,3,1
0,3.457,14483.518,15000,9.5807667,9.6158056,0,3,1,1,0
0,3.544,16092.797,14000,9.6861267,9.546813,0,3,0,1,4
0,3.327,7509.9722,4000,8.9239874,8.2940493,0,3,1,3,2
1,3.403,8582.8252,12000,9.057518,9.392662,0,3,1,3,0
1,2.729,5364.2656,4000,8.5875149,8.2940493,0,3,1,3,2
0,3.032,9655.6787,8000,9.1753016,8.9871969,2,3,1,3,2
0,3.13,8582.8252,13000,9.057518,9.4727049,1,3,1,3,1
0,3.152,3754.9861,5000,8.2308397,8.5171928,0,3,1,1,3
0,3.914,16092.797,15000,9.6861267,9.6158056,1,3,0,3,1
1,3.146,5578.8364,7000,8.6267357,8.8536654,0,3,0,1,3
0,3.299,4158.4063,5000,8.3328867,8.5171928,0,3,1,2,4
0,2.851,8582.8252,10000,9.057518,9.2103405,1,3,0,3,2
0,3.889,15019.944,14000,9.6171341,9.546813,1,3,0,1,0
1,3.134,6973.5454,10000,8.8498793,9.2103405,0,3,0,3,1
0,3.337,8582.8252,13000,9.057518,9.4727049,1,3,0,3,2
0,3.515,8582.8252,20000,9.057518,9.9034872,1,3,1,3,2
1,3.032,3754.9861,5500,8.2308397,8.6125031,0,3,0,2,2
0,3.482,10728.531,10000,9.2806616,9.2103405,1,3,1,3,2
0,3.835,8582.8252,8000,9.057518,8.9871969,1,3,0,2,0
0,3.371,8582.8252,12000,9.057518,9.392662,1,3,0,2,4
1,3.418,8582.8252,10000,9.057518,9.2103405,1,3,0,3,1
0,3.534,4827.8394,16500,8.4821539,9.7111158,0,3,1,3,2
0,3.396,3647.7007,6000,8.2018518,8.6995144,0,3,1,1,3
0,3.455,3218.5593,6000,8.0766888,8.6995144,0,3,1,3,2
1,3.158,11801.385,8500,9.3759718,9.047821,0,3,1,3,2
1,3.412,10728.531,10000,9.2806616,9.2103405,1,3,0,2,3
0,3.503,7509.9722,10000,8.9239874,9.2103405,0,3,1,3,1
0,3.109,5364.2656,5900,8.5875149,8.6827078,0,3,0,2,1
1,2.996,6973.5454,24000,8.8498793,10.085809,0,3,1,2,0
0,3.654,3218.5593,7000,8.0766888,8.8536654,0,3,0,2,0
0,3.118,8582.8252,15000,9.057518,9.6158056,0,3,1,2,4
0,3.286,9655.6787,18000,9.1753016,9.7981272,0,3,1,3,1
1,2.157,5364.2656,4500,8.5875149,8.4118328,0,3,1,3,1
1,2.69,3218.5593,8000,8.0766888,8.9871969,0,3,1,3,2
0,2.673,2896.7034,6000,7.9713287,8.6995144,0,3,0,2,3
0,3.459,5364.2656,8000,8.5875149,8.9871969,1,3,1,3,1
0,3.013,6437.1187,10000,8.7698364,9.2103405,0,3,0,3,1
0,3.384,7724.5425,10400,8.952158,9.2495613,0,3,1,3,4
