gender,grade,provin,school,worklocation,NCEE_science,NCEE_art,gpa,wageb,wagea,lnbwage,lnawage,nonac,gradchoice,major,hheconstat,Pedu,Poccu,emptype,sector
0,2009,61,12,61,,,3.204,3282.9521,6000,8.0964985,8.6995144,0,1,5,1,3,1,1,1
1,2009,33,10,31,,,3.706,10943.174,30000,9.3004713,10.308952,1,1,1,1,2,2,2,2
1,2009,42,10,44,,,3.176,5471.5869,20000,8.6073236,9.9034872,0,0,1,0,1,0,3,2
1,2009,51,10,11,,,3.006,3830.1108,12000,8.2506495,9.392662,0,2,1,0,1,3,3,1
0,2009,51,10,51,,,3.271,3064.0889,4000,8.0275059,8.2940493,1,0,1,1,3,2,1,1
1,2009,51,10,51,,,3.35,6565.9043,8000,8.7896452,8.9871969,0,1,1,0,3,1,1,1
0,2009,43,5,31,,,3.863,7660.2217,20000,8.9437962,9.9034872,1,1,3,0,2,3,2,2
0,2009,36,5,33,,,2.908,5471.5869,5000,8.6073236,8.5171928,1,0,3,0,2,2,2,2
1,2009,51,5,51,,,3.858,4377.2695,4000,8.3841801,8.2940493,1,1,3,0,2,4,1,1
1,2009,41,5,41,,,3.475,10943.174,8000,9.3004713,8.9871969,0,2,3,1,2,3,2,2
0,2009,51,5,51,,,3.716,6565.9043,8000,8.7896452,8.9871969,1,1,3,1,3,1,1,1
0,2009,41,5,33,,,3.643,14226.126,13000,9.5628357,9.4727049,0,0,3,0,3,2,3,1
1,2009,65,15,65,,,2.366,3282.9521,4500,8.0964985,8.4118328,1,2,3,0,2,3,1,1
0,2009,46,15,46,,,3.341,3282.9521,8000,8.0964985,8.9871969,0,0,3,1,3,1,1,1
0,2009,14,15,14,,,3.526,4377.2695,5000,8.3841801,8.5171928,0,0,3,1,2,4,2,2
1,2009,51,16,51,,,2.501,21886.348,20000,9.993618,9.9034872,0,0,2,0,2,0,2,2
1,2009,50,16,50,,,3.33,5471.5869,8000,8.6073236,8.9871969,0,0,2,0,1,3,2,2
0,2009,51,16,51,,,3.277,6565.9043,10000,8.7896452,9.2103405,0,0,2,0,1,1,3,2
0,2009,22,16,11,,,2.832,7660.2217,11000,8.9437962,9.3056507,1,1,2,1,3,2,3,1
0,2009,51,16,51,,,3.3,6565.9043,10000,8.7896452,9.2103405,1,0,2,1,3,1,2,2
0,2009,65,16,65,,,2.124,3282.9521,5000,8.0964985,8.5171928,1,0,2,1,1,0,1,1
0,2009,23,16,23,,,3.699,10943.174,14000,9.3004713,9.546813,1,0,2,1,3,1,3,2
0,2009,51,16,51,,,3.303,4924.4282,4000,8.5019636,8.2940493,1,0,2,0,3,1,2,2
1,2009,51,16,51,,,3.544,8754.5391,10000,9.0773277,9.2103405,0,1,2,1,2,2,2,2
1,2009,41,16,44,,,3.371,7879.0854,20000,8.9719667,9.9034872,0,0,2,1,3,2,2,2
1,2009,62,16,37,,,3.588,6565.9043,10000,8.7896452,9.2103405,1,1,2,0,3,4,2,2
0,2009,51,16,11,,,3.664,14226.126,40000,9.5628357,10.596635,0,1,2,1,3,2,2,2
0,2009,51,16,51,,,3.671,5471.5869,8000,8.6073236,8.9871969,0,1,2,1,1,0,1,2
1,2009,50,16,50,,,3.086,10943.174,18000,9.3004713,9.7981272,0,0,2,1,3,2,2,2
1,2009,23,16,11,,,2.596,21886.348,8000,9.993618,8.9871969,0,1,2,1,3,2,3,2
1,2009,42,16,42,,,2.624,5471.5869,10000,8.6073236,9.2103405,1,0,2,0,2,0,2,2
0,2009,37,16,37,,,3.625,10943.174,10000,9.3004713,9.2103405,1,1,2,1,3,2,2,2
1,2009,41,16,46,,,3.564,4377.2695,20000,8.3841801,9.9034872,1,0,2,0,1,3,2,1
0,2009,51,16,51,,,3.081,8754.5391,10000,9.0773277,9.2103405,1,0,2,0,2,0,2,2
0,2009,53,16,,,,3.198,6565.9043,5600,8.7896452,8.6305218,0,0,2,1,3,2,1,1
1,2009,11,16,11,,,3.049,8754.5391,50000,9.0773277,10.819778,1,1,2,1,3,2,2,2
1,2009,53,16,53,,,3.6,8754.5391,14000,9.0773277,9.546813,1,0,2,1,3,2,2,2
1,2009,51,16,11,,,3.835,8754.5391,25000,9.0773277,10.126631,1,1,2,0,3,1,3,2
0,2009,51,16,51,,,3.733,5471.5869,9000,8.6073236,9.1049795,0,0,2,1,3,1,3,2
0,2009,51,16,51,,,3.328,4377.2695,10000,8.3841801,9.2103405,1,0,2,1,1,4,2,2
0,2009,13,16,11,,,3.164,6565.9043,20000,8.7896452,9.9034872,0,0,2,1,3,1,2,2
1,2009,51,16,50,,,3.149,10943.174,10000,9.3004713,9.2103405,0,0,2,0,3,2,2,2
1,2009,51,16,51,,,3.622,8207.3809,7500,9.0127888,8.922658,0,1,2,1,3,1,3,2
1,2009,51,16,51,,,3.546,10943.174,20000,9.3004713,9.9034872,1,0,2,0,1,0,3,2
1,2009,51,16,51,,,3.983,10943.174,13000,9.3004713,9.4727049,1,1,2,1,2,4,1,1
1,2009,23,16,23,,,2.7,4377.2695,7000,8.3841801,8.8536654,1,0,2,0,1,4,2,2
1,2009,51,16,,,,3.484,8754.5391,20000,9.0773277,9.9034872,1,1,2,1,3,2,3,1
1,2009,37,16,31,,,3.18,10833.742,12000,9.2904205,9.392662,1,1,2,1,3,2,2,2
0,2009,11,16,11,,,3.648,8754.5391,15000,9.0773277,9.6158056,0,1,2,0,3,0,3,2
0,2009,61,16,31,,,3.714,9848.8564,16000,9.1951103,9.6803436,1,1,2,1,3,2,3,2
1,2009,51,16,31,,,2.68,3282.9521,8000,8.0964985,8.9871969,1,1,2,1,3,2,2,2
1,2009,21,16,21,,,2.673,6565.9043,6000,8.7896452,8.6995144,0,0,2,1,2,2,2,2
1,2009,51,16,11,,,3.988,13131.809,35000,9.4827929,10.463103,1,1,2,1,3,2,2,2
0,2009,46,16,44,,,3.707,8426.2441,12000,9.0391064,9.392662,1,1,2,1,3,1,2,2
1,2009,51,16,51,,,3.529,6565.9043,11000,8.7896452,9.3056507,1,1,2,0,3,2,2,2
0,2009,51,16,51,,,3.571,7113.063,4500,8.869688,8.4118328,0,0,2,0,2,4,1,1
0,2009,51,3,51,,,3.537,5471.5869,9000,8.6073236,9.1049795,1,0,2,1,1,3,3,1
0,2009,51,3,51,,,3.521,10943.174,10000,9.3004713,9.2103405,1,1,2,1,3,1,3,2
1,2009,65,3,51,,,2.917,8754.5391,12000,9.0773277,9.392662,0,0,2,0,2,4,3,2
1,2009,13,3,13,,,3.28,3282.9521,5000,8.0964985,8.5171928,0,0,2,1,3,4,2,1
1,2009,51,3,51,,,2.984,3282.9521,10000,8.0964985,9.2103405,0,0,2,0,3,2,2,2
0,2009,65,3,65,,,2.515,4377.2695,4200,8.3841801,8.3428402,0,2,2,1,1,0,1,1
1,2009,61,3,11,,,2.793,10943.174,25000,9.3004713,10.126631,1,1,2,1,3,1,2,2
1,2009,44,3,44,,,2.522,4377.2695,10000,8.3841801,9.2103405,0,0,2,1,2,0,2,2
1,2009,34,3,46,,,2.754,4377.2695,8000,8.3841801,8.9871969,0,1,2,1,2,4,2,2
1,2009,21,3,21,,,2.711,3501.8157,4500,8.1610365,8.4118328,0,0,2,0,2,4,3,2
0,2009,51,3,32,,,3.598,8207.3809,10000,9.0127888,9.2103405,0,0,2,1,2,2,2,2
0,2009,51,3,31,,,3.326,10943.174,12000,9.3004713,9.392662,1,1,2,1,3,2,3,2
0,2009,51,3,11,,,3.582,25169.301,28000,10.13338,10.23996,0,1,2,1,3,1,2,2
1,2009,51,3,44,,,3.466,14226.126,20000,9.5628357,9.9034872,0,1,2,1,2,3,3,2
1,2009,41,3,41,,,2.624,3830.1108,40000,8.2506495,10.596635,1,2,2,0,2,3,2,2
0,2009,50,3,11,,,4.024,8207.3809,6000,9.0127888,8.6995144,1,1,2,0,1,0,3,2
0,2009,51,3,51,,,3.355,4377.2695,10000,8.3841801,9.2103405,0,0,2,0,1,3,3,2
0,2009,61,3,11,,,3.197,9848.8564,11000,9.1951103,9.3056507,0,1,2,1,3,1,3,2
0,2009,23,3,51,,,3.624,10943.174,10000,9.3004713,9.2103405,1,1,2,1,3,0,2,2
0,2009,51,3,51,,,3.536,3282.9521,8000,8.0964985,8.9871969,0,0,2,0,3,2,3,2
1,2009,12,3,11,,,2.999,8207.3809,10000,9.0127888,9.2103405,0,1,2,0,3,2,2,2
1,2009,51,3,44,,,3.5,18603.396,25000,9.8310995,10.126631,0,1,2,1,3,1,3,2
1,2009,51,3,31,,,2.633,6565.9043,1000,8.7896452,6.9077554,0,1,2,1,2,2,3,1
