,gender,gpa,wageb,wagea,lnbwage,lnawage,gradchoice,major,hheconstat,Pedu,Poccu
0,0,3.204,3282.9521,6000,8.0964985,8.6995144,1,0,1,3,1
1,1,3.706,10943.174,30000,9.3004713,10.308952,1,1,1,2,2
2,1,3.176,5471.5869,20000,8.6073236,9.9034872,0,1,0,1,0
3,1,3.006,3830.1108,12000,8.2506495,9.392662,2,1,0,1,3
4,0,3.271,3064.0889,4000,8.0275059,8.2940493,0,1,1,3,2
5,1,3.35,6565.9043,8000,8.7896452,8.9871969,1,1,0,3,1
6,0,3.863,7660.2217,20000,8.9437962,9.9034872,1,0,0,2,3
7,0,2.908,5471.5869,5000,8.6073236,8.5171928,0,0,0,2,2
8,1,3.858,4377.2695,4000,8.3841801,8.2940493,1,0,0,2,4
9,1,3.475,10943.174,8000,9.3004713,8.9871969,2,0,1,2,3
10,0,3.716,6565.9043,8000,8.7896452,8.9871969,1,0,1,3,1
11,0,3.643,14226.126,13000,9.5628357,9.4727049,0,0,0,3,2
12,1,2.366,3282.9521,4500,8.0964985,8.4118328,2,0,0,2,3
13,0,3.341,3282.9521,8000,8.0964985,8.9871969,0,0,1,3,1
14,0,3.526,4377.2695,5000,8.3841801,8.5171928,0,0,1,2,4
15,1,2.501,21886.348,20000,9.993618,9.9034872,0,1,0,2,0
16,1,3.33,5471.5869,8000,8.6073236,8.9871969,0,1,0,1,3
17,0,3.277,6565.9043,10000,8.7896452,9.2103405,0,1,0,1,1
18,0,2.832,7660.2217,11000,8.9437962,9.3056507,1,1,1,3,2
19,0,3.3,6565.9043,10000,8.7896452,9.2103405,0,1,1,3,1
20,0,2.124,3282.9521,5000,8.0964985,8.5171928,0,1,1,1,0
21,0,3.699,10943.174,14000,9.3004713,9.546813,0,1,1,3,1
22,0,3.303,4924.4282,4000,8.5019636,8.2940493,0,1,0,3,1
23,1,3.544,8754.5391,10000,9.0773277,9.2103405,1,1,1,2,2
24,1,3.371,7879.0854,20000,8.9719667,9.9034872,0,1,1,3,2
25,1,3.588,6565.9043,10000,8.7896452,9.2103405,1,1,0,3,4
26,0,3.664,14226.126,40000,9.5628357,10.596635,1,1,1,3,2
27,0,3.671,5471.5869,8000,8.6073236,8.9871969,1,1,1,1,0
28,1,3.086,10943.174,18000,9.3004713,9.7981272,0,1,1,3,2
29,1,2.596,21886.348,8000,9.993618,8.9871969,1,1,1,3,2
30,1,2.624,5471.5869,10000,8.6073236,9.2103405,0,1,0,2,0
31,0,3.625,10943.174,10000,9.3004713,9.2103405,1,1,1,3,2
32,1,3.564,4377.2695,20000,8.3841801,9.9034872,0,1,0,1,3
33,0,3.081,8754.5391,10000,9.0773277,9.2103405,0,1,0,2,0
34,0,3.198,6565.9043,5600,8.7896452,8.6305218,0,1,1,3,2
35,1,3.049,8754.5391,50000,9.0773277,10.819778,1,1,1,3,2
36,1,3.6,8754.5391,14000,9.0773277,9.546813,0,1,1,3,2
37,1,3.835,8754.5391,25000,9.0773277,10.126631,1,1,0,3,1
38,0,3.733,5471.5869,9000,8.6073236,9.1049795,0,1,1,3,1
39,0,3.328,4377.2695,10000,8.3841801,9.2103405,0,1,1,1,4
40,0,3.164,6565.9043,20000,8.7896452,9.9034872,0,1,1,3,1
41,1,3.149,10943.174,10000,9.3004713,9.2103405,0,1,0,3,2
42,1,3.622,8207.3809,7500,9.0127888,8.922658,1,1,1,3,1
43,1,3.546,10943.174,20000,9.3004713,9.9034872,0,1,0,1,0
44,1,3.983,10943.174,13000,9.3004713,9.4727049,1,1,1,2,4
45,1,2.7,4377.2695,7000,8.3841801,8.8536654,0,1,0,1,4
46,1,3.484,8754.5391,20000,9.0773277,9.9034872,1,1,1,3,2
47,1,3.18,10833.742,12000,9.2904205,9.392662,1,1,1,3,2
48,0,3.648,8754.5391,15000,9.0773277,9.6158056,1,1,0,3,0
49,0,3.714,9848.8564,16000,9.1951103,9.6803436,1,1,1,3,2
50,1,2.68,3282.9521,8000,8.0964985,8.9871969,1,1,1,3,2
51,1,2.673,6565.9043,6000,8.7896452,8.6995144,0,1,1,2,2
52,1,3.988,13131.809,35000,9.4827929,10.463103,1,1,1,3,2
53,0,3.707,8426.2441,12000,9.0391064,9.392662,1,1,1,3,1
54,1,3.529,6565.9043,11000,8.7896452,9.3056507,1,1,0,3,2
55,0,3.571,7113.063,4500,8.869688,8.4118328,0,1,0,2,4
56,0,3.537,5471.5869,9000,8.6073236,9.1049795,0,1,1,1,3
57,0,3.521,10943.174,10000,9.3004713,9.2103405,1,1,1,3,1
58,1,2.917,8754.5391,12000,9.0773277,9.392662,0,1,0,2,4
59,1,3.28,3282.9521,5000,8.0964985,8.5171928,0,1,1,3,4
60,1,2.984,3282.9521,10000,8.0964985,9.2103405,0,1,0,3,2
61,0,2.515,4377.2695,4200,8.3841801,8.3428402,2,1,1,1,0
62,1,2.793,10943.174,25000,9.3004713,10.126631,1,1,1,3,1
63,1,2.522,4377.2695,10000,8.3841801,9.2103405,0,1,1,2,0
64,1,2.754,4377.2695,8000,8.3841801,8.9871969,1,1,1,2,4
65,1,2.711,3501.8157,4500,8.1610365,8.4118328,0,1,0,2,4
66,0,3.598,8207.3809,10000,9.0127888,9.2103405,0,1,1,2,2
67,0,3.326,10943.174,12000,9.3004713,9.392662,1,1,1,3,2
68,0,3.582,25169.301,28000,10.13338,10.23996,1,1,1,3,1
69,1,3.466,14226.126,20000,9.5628357,9.9034872,1,1,1,2,3
70,1,2.624,3830.1108,40000,8.2506495,10.596635,2,1,0,2,3
71,0,4.024,8207.3809,6000,9.0127888,8.6995144,1,1,0,1,0
72,0,3.355,4377.2695,10000,8.3841801,9.2103405,0,1,0,1,3
73,0,3.197,9848.8564,11000,9.1951103,9.3056507,1,1,1,3,1
74,0,3.624,10943.174,10000,9.3004713,9.2103405,1,1,1,3,0
75,0,3.536,3282.9521,8000,8.0964985,8.9871969,0,1,0,3,2
76,1,2.999,8207.3809,10000,9.0127888,9.2103405,1,1,0,3,2
77,1,3.5,18603.396,25000,9.8310995,10.126631,1,1,1,3,1
78,1,2.633,6565.9043,1000,8.7896452,6.9077554,1,1,1,2,2
79,1,3.003,4377.2695,33000,8.3841801,10.404263,0,1,0,1,3
80,1,2.895,5471.5869,11000,8.6073236,9.3056507,2,0,0,2,2
